timestamp,sim_day,sim_hour,temp_C,pH,ec_mS,do_mg,ammonia_ppm,turbidity,light_klux,plant_gi,fish_gi
20:57:07,0,6.0,27.02,6.999,1.199,7.01,0.219,8.1,30.0,0.9717,0.7895
20:57:18,0,6.01,26.93,7.001,1.188,6.97,0.221,8.2,30.0,0.9722,0.7803
20:57:30,0,6.01,26.84,6.99,1.185,6.96,0.225,7.8,30.0,0.9729,0.7694
20:57:41,0,6.02,26.88,6.993,1.192,6.86,0.227,7.8,30.0,0.9719,0.7665
20:57:52,0,6.02,26.86,6.99,1.196,6.79,0.225,8.0,30.0,0.9712,0.7604
20:58:04,0,6.03,26.73,6.992,1.199,6.84,0.223,8.0,30.0,0.973,0.7525
20:58:15,0,6.03,26.68,6.985,1.194,6.89,0.222,8.3,30.0,0.9735,0.7497
20:58:26,0,6.04,26.7,6.987,1.199,6.93,0.224,8.2,30.0,0.9737,0.755
20:58:37,0,6.05,26.67,6.992,1.192,6.92,0.224,7.9,30.0,0.9739,0.7523
20:58:48,0,6.05,26.69,6.994,1.198,6.95,0.221,8.2,30.0,0.9741,0.7561
20:58:59,0,6.06,26.76,6.993,1.204,6.99,0.222,7.9,30.0,0.9739,0.765
20:59:10,0,6.06,26.67,6.987,1.203,6.96,0.225,7.7,30.0,0.9743,0.7531
20:59:21,0,6.07,26.62,6.988,1.201,6.9,0.227,7.9,30.0,0.974,0.745
20:59:32,0,6.07,26.54,6.992,1.195,6.91,0.225,8.2,30.0,0.9744,0.7383
20:59:43,0,6.08,26.56,6.989,1.199,6.96,0.229,8.1,0.6,0.5919,0.7417
20:59:54,0,6.09,26.67,6.993,1.202,6.92,0.226,8.2,0.7,0.5923,0.7513
21:00:05,0,6.09,26.71,6.989,1.198,6.95,0.228,8.2,0.7,0.5929,0.7562
21:00:16,0,6.1,26.75,6.989,1.188,6.92,0.231,8.4,0.8,0.5931,0.7576
21:00:27,0,6.1,26.78,6.987,1.194,6.82,0.233,8.5,0.8,0.5932,0.7538
21:00:37,0,6.11,26.85,6.988,1.201,6.91,0.234,8.4,0.8,0.5943,0.7653
21:00:48,0,6.11,26.93,6.99,1.179,6.89,0.233,8.3,0.9,0.5945,0.7708
